Total_reported,Date_of_publication,Date_of_measurement,Wave,Region_name,Subgroup_category,Subgroup,Indicator_category,Indicator,Figure_type,Value,Lower_limit,Upper_limit,Change_wrt_previous_measurement,Hospital_admission,Deceased
2692,16/02/2021,16/02/2021,8,Nederland,Alle,Totaal,Naleving,Bij_klachten_laat_testen,Percentage,"35,5","31,4","39,8",-1,59,88
2692,16/02/2021,16/02/2021,8,Nederland,Alle,Totaal,Naleving,Bij_klachten_blijf_thuis,Percentage,"49,6","44,2",55,0,59,88
2692,16/02/2021,16/02/2021,8,Nederland,Alle,Totaal,Naleving,Avondklok,Percentage,"90,7","89,8","91,6",-1,59,88
159,15/06/2020,,,,,,,,,,,,,2,7
10,04/03/2020,,,,,,,,,,,,,1,0
6633,04/01/2021,,,,,,,,,,,,,71,65
98,14/07/2020,,,,,,,,,,,,,8,10
57,08/07/2020,,,,,,,,,,,,,6,4
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Werkt_thuis,Percentage,"70,5","68,8","72,2",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Was_vaak_je_handen,Percentage,33,"31,6","34,5",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Vermijd_drukke_plekken,Percentage,"76,1","74,7","77,4",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Thuisgewerkte_uren,Percentage,"69,3","67,3","71,2",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Ontvang_max_bezoekers_thuis,Percentage,"79,9","78,6","81,1",-1,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Houd_1_5m_afstand,Percentage,"66,9","66,3","67,5",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Hoest_niest_in_elleboog,Percentage,"63,1",62,"64,2",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_publieke_binnenruimtes,Percentage,"84,4","83,2","85,5",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Draag_mondkapje_in_ov,Percentage,"97,6","95,4","98,8",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Bij_klachten_laat_testen,Percentage,"43,4","39,4","47,4",-1,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Bij_klachten_blijf_thuis,Percentage,"52,9","47,6","58,1",0,70,86
3959,26/01/2021,26/01/2021,7,Nederland,Alle,Totaal,Naleving,Avondklok,Percentage,"94,1","93,3","94,8",,70,86
843,25/03/2020,,,,,,,,,,,,,325,76
4908,02/12/2020,,,,,,,,,,,,,61,66
5912,17/03/2021,,,,,,,,,,,,,70,47
111,19/05/2020,,,,,,,,,,,,,33,24
627,14/08/2020,,,,,,,,,,,,,12,2
2259,08/02/2021,,,,,,,,,,,,,40,25
239,07/06/2020,,,,,,,,,,,,,3,3
127,12/03/2020,,,,,,,,,,,,,22,0
8114,08/01/2021,,,,,,,,,,,,,84,88
65,10/07/2020,,,,,,,,,,,,,3,0
0,27/02/2020,,,,,,,,,,,,,1,0
209,27/07/2020,,,,,,,,,,,,,3,1
12998,20/12/2020,,,,,,,,,,,,,99,31
7739,03/11/2020,,,,,,,,,,,,,99,112
862,14/04/2020,,,,,,,,,,,,,206,107
7187,19/04/2021,,,,,,,,,,,,,96,22
1297,14/09/2020,,,,,,,,,,,,,8,2
4331,12/02/2021,,,,,,,,,,,,,82,65
108,19/06/2020,,,,,,,,,,,,,9,4
32,08/03/2020,,,,,,,,,,,,,11,1
148,18/05/2020,,,,,,,,,,,,,30,13
656,15/08/2020,,,,,,,,,,,,,7,2
5594,03/12/2020,,,,,,,,,,,,,73,59
4945,16/03/2021,,,,,,,,,,,,,59,31
1099,05/04/2020,,,,,,,,,,,,,233,103
5619,12/11/2020,,,,,,,,,,,,,92,85
1892,19/09/2020,,,,,,,,,,,,,32,3
5458,14/04/2021,,,,,,,,,,,,,79,28
9667,31/12/2020,,,,,,,,,,,,,135,109
372,03/08/2020,,,,,,,,,,,,,7,0
4095,06/02/2021,,,,,,,,,,,,,71,61
164,09/06/2020,,,,,,,,,,,,,6,13
219,14/03/2020,,,,,,,,,,,,,28,4
6605,10/01/2021,,,,,,,,,,,,,78,53
155,24/07/2020,,,,,,,,,,,,,4,0
288,09/05/2020,,,,,,,,,,,,,60,66
9123,12/12/2020,,,,,,,,,,,,,78,53
5300,11/03/2021,,,,,,,,,,,,,78,50
531,20/08/2020,,,,,,,,,,,,,10,9
599,03/09/2020,,,,,,,,,,,,,5,2
4990,25/02/2021,,,,,,,,,,,,,58,32
4465,28/11/2020,,,,,,,,,,,,,67,56
177,23/05/2020,,,,,,,,,,,,,13,23
7331,09/01/2021,,,,,,,,,,,,,78,137
164,23/07/2020,,,,,,,,,,,,,2,1
3804,02/10/2020,,,,,,,,,,,,,22,9
7823,01/04/2021,,,,,,,,,,,,,66,22
437,02/05/2020,,,,,,,,,,,,,99,87
7955,16/10/2020,,,,,,,,,,,,,85,18
5450,23/01/2021,,,,,,,,,,,,,78,88
70,23/06/2020,,,,,,,,,,,,,4,5
1146,28/03/2020,,,,,,,,,,,,,462,89
11156,21/12/2020,,,,,,,,,,,,,76,30
224,28/07/2020,,,,,,,,,,,,,4,4
170,22/07/2020,,,,,,,,,,,,,1,2
4942,12/01/2021,,,,,,,,,,,,,99,153
573,24/08/2020,,,,,,,,,,,,,5,2
6119,08/12/2020,,,,,,,,,,,,,70,68
223,13/05/2020,,,,,,,,,,,,,60,52
4512,07/03/2021,,,,,,,,,,,,,79,29
